Kode,Industri
AKSI,Transportation & Logistic
ASSA,Transportation & Logistic
BIRD,Transportation & Logistic
BLTA,Transportation & Logistic
CMPP,Transportation & Logistic
GIAA,Transportation & Logistic
IMJS,Transportation & Logistic
LRNA,Transportation & Logistic
MIRA,Transportation & Logistic
MITI,Transportation & Logistic
NELY,Transportation & Logistic
SAFE,Transportation & Logistic
SDMU,Transportation & Logistic
SMDR,Transportation & Logistic
TAXI,Transportation & Logistic
TMAS,Transportation & Logistic
WEHA,Transportation & Logistic
HELI,Transportation & Logistic
TRUK,Transportation & Logistic
TNCA,Transportation & Logistic
BPTR,Transportation & Logistic
SAPX,Transportation & Logistic
DEAL,Transportation & Logistic
JAYA,Transportation & Logistic
KJEN,Transportation & Logistic
PURA,Transportation & Logistic
PPGL,Transportation & Logistic
TRJA,Transportation & Logistic
HAIS,Transportation & Logistic
HATM,Transportation & Logistic
RCCC,Transportation & Logistic
ELPI,Transportation & Logistic
LAJU,Transportation & Logistic
GTRA,Transportation & Logistic
MPXL,Transportation & Logistic
KLAS,Transportation & Logistic
LOPI,Transportation & Logistic
BLOG,Transportation & Logistic
ADMG,Basic Materials
AGII,Basic Materials
AKPI,Basic Materials
ALDO,Basic Materials
ALKA,Basic Materials
ALMI,Basic Materials
ANTM,Basic Materials
APLI,Basic Materials
BAJA,Basic Materials
BMSR,Basic Materials
BRMS,Basic Materials
BRNA,Basic Materials
BRPT,Basic Materials
BTON,Basic Materials
CITA,Basic Materials
CLPI,Basic Materials
CTBN,Basic Materials
DKFT,Basic Materials
DPNS,Basic Materials
EKAD,Basic Materials
ESSA,Basic Materials
ETWA,Basic Materials
FASW,Basic Materials
FPNI,Basic Materials
GDST,Basic Materials
IGAR,Basic Materials
INAI,Basic Materials
INCI,Basic Materials
INCO,Basic Materials
INKP,Basic Materials
INRU,Basic Materials
INTD,Basic Materials
INTP,Basic Materials
IPOL,Basic Materials
ISSP,Basic Materials
KBRI,Basic Materials
KDSI,Basic Materials
KRAS,Basic Materials
LMSH,Basic Materials
LTLS,Basic Materials
MDKA,Basic Materials
NIKL,Basic Materials
OKAS,Basic Materials
PICO,Basic Materials
PSAB,Basic Materials
SIMA,Basic Materials
SMBR,Basic Materials
SMCB,Basic Materials
SMGR,Basic Materials
SPMA,Basic Materials
SQMI,Basic Materials
SRSN,Basic Materials
SULI,Basic Materials
TALF,Basic Materials
TBMS,Basic Materials
TINS,Basic Materials
TIRT,Basic Materials
TKIM,Basic Materials
