Kode,Industri,Market Cap
AKSI,Transportation & Logistic,279360012288.0
ASSA,Transportation & Logistic,4244808138752.0
BIRD,Transportation & Logistic,4316122316800.0
BLTA,Transportation & Logistic,1088184713216.0
CMPP,Transportation & Logistic,972346359808.0
GIAA,Transportation & Logistic,8233270902784.0
IMJS,Transportation & Logistic,2278345146368.0
LRNA,Transportation & Logistic,83300007936.0
MIRA,Transportation & Logistic,122805010432.0
MITI,Transportation & Logistic,1260176932864.0
NELY,Transportation & Logistic,958800068608.0
SAFE,Transportation & Logistic,315343667200.0
SDMU,Transportation & Logistic,261080170496.0
SMDR,Transportation & Logistic,6517488615424.0
TAXI,Transportation & Logistic,224920223744.0
TMAS,Transportation & Logistic,7961639911424.0
WEHA,Transportation & Logistic,217622675456.0
HELI,Transportation & Logistic,174901100544.0
TRUK,Transportation & Logistic,132507688960.0
TNCA,Transportation & Logistic,93604077568.0
BPTR,Transportation & Logistic,293321998336.0
SAPX,Transportation & Logistic,243333332992.0
DEAL,Transportation & Logistic,6877026304.0
JAYA,Transportation & Logistic,98215428096.0
KJEN,Transportation & Logistic,79000002560.0
PURA,Transportation & Logistic,245775302656.0
PPGL,Transportation & Logistic,166574456832.0
TRJA,Transportation & Logistic,244652408832.0
HAIS,Transportation & Logistic,572522496000.0
HATM,Transportation & Logistic,2933839888384.0
RCCC,Transportation & Logistic,111037505536.0
ELPI,Transportation & Logistic,12674519793664.0
LAJU,Transportation & Logistic,202094641152.0
GTRA,Transportation & Logistic,621355008000.0
MPXL,Transportation & Logistic,310002286592.0
KLAS,Transportation & Logistic,331641847808.0
LOPI,Transportation & Logistic,165001691136.0
BLOG,Transportation & Logistic,1392348758016.0
ADMG,Basic Materials,871176208384.0
AGII,Basic Materials,6746652278784.0
AKPI,Basic Materials,330613915648.0
ALDO,Basic Materials,1416584888320.0
ALKA,Basic Materials,213161476096.0
ALMI,Basic Materials,282384007168.0
ANTM,Basic Materials,99006755635200.0
APLI,Basic Materials,490561699840.0
BAJA,Basic Materials,266400006144.0
BMSR,Basic Materials,391809597440.0
BRMS,Basic Materials,151708915204096.0
BRNA,Basic Materials,704959217664.0
BRPT,Basic Materials,206149773164544.0
BTON,Basic Materials,280800002048.0
CITA,Basic Materials,17782022340608.0
CLPI,Basic Materials,473292963840.0
CTBN,Basic Materials,4862256873472.0
DKFT,Basic Materials,4769165344768.0
DPNS,Basic Materials,102650281984.0
EKAD,Basic Materials,649860743168.0
ESSA,Basic Materials,10680724881408.0
ETWA,Basic Materials,326806994944.0
FASW,Basic Materials,17555842400256.0
FPNI,Basic Materials,3701665169408.0
GDST,Basic Materials,1072130031616.0
IGAR,Basic Materials,468529217536.0
INAI,Basic Materials,136857600000.0
INCI,Basic Materials,157819027456.0
INCO,Basic Materials,74832465100800.0
INKP,Basic Materials,52247891279872.0
INRU,Basic Materials,819441172480.0
INTD,Basic Materials,173997424640.0
INTP,Basic Materials,24169769074688.0
IPOL,Basic Materials,824752603136.0
ISSP,Basic Materials,3377232871424.0
KBRI,Basic Materials,434400002048.0
KDSI,Basic Materials,725760016384.0
KRAS,Basic Materials,7312938369024.0
LMSH,Basic Materials,24576000000.0
LTLS,Basic Materials,1208368234496.0
MDKA,Basic Materials,77887067652096.0
NIKL,Basic Materials,989153198080.0
OKAS,Basic Materials,320415629312.0
PICO,Basic Materials,96623747072.0
PSAB,Basic Materials,14685300588544.0
SIMA,Basic Materials,22129500160.0
SMBR,Basic Materials,2959895429120.0
SMCB,Basic Materials,6990021001216.0
SMGR,Basic Materials,21604929110016.0
SPMA,Basic Materials,959474302976.0
SQMI,Basic Materials,668116451328.0
SRSN,Basic Materials,361199992832.0
SULI,Basic Materials,796417851392.0
TALF,Basic Materials,839129694208.0
TBMS,Basic Materials,1068959399936.0
TINS,Basic Materials,31206085230592.0
TIRT,Basic Materials,627300302848.0
TKIM,Basic Materials,22726532136960.0
TPIA,Basic Materials,624990756012032.0
TRST,Basic Materials,1308527951872.0
UNIC,Basic Materials,4743725318144.0
WTON,Basic Materials,854115745792.0
YPAS,Basic Materials,454240043008.0
INCF,Basic Materials,107877785600.0
WSBP,Basic Materials,1208574279680.0
KMTR,Basic Materials,2283871666176.0
MDKI,Basic Materials,521210888192.0
ZINC,Basic Materials,984750030848.0
PBID,Basic Materials,3645000122368.0
TDPM,Basic Materials,1247726796800.0
SWAT,Basic Materials,48307200000.0
MOLI,Basic Materials,719145664512.0
HKMU,Basic Materials,161087504384.0
KAYU,Basic Materials,11969999872.0
SMKL,Basic Materials,601582993408.0
GGRP,Basic Materials,3875640442880.0
OPMS,Basic Materials,118640795648.0
PURE,Basic Materials,70134177792.0
ESIP,Basic Materials,91016208384.0
IFSH,Basic Materials,3413586739200.0
IFII,Basic Materials,2371823861760.0
SAMF,Basic Materials,3259500068864.0
EPAC,Basic Materials,148652998656.0
BEBS,Basic Materials,224999997440.0
NPGF,Basic Materials,233296969728.0
ARCI,Basic Materials,44161248002048.0
NICL,Basic Materials,12603239694336.0
SBMA,Basic Materials,128329826304.0
CMNT,Basic Materials,13357893550080.0
OBMD,Basic Materials,228901994496.0
AVIA,Basic Materials,27078135119872.0
CHEM,Basic Materials,185303564288.0
KKES,Basic Materials,55500001280.0
PDPP,Basic Materials,942893170688.0
FWCT,Basic Materials,272857006080.0
PACK,Basic Materials,1638222135296.0
AMMN,Basic Materials,563829079539712.0
PPRI,Basic Materials,303157706752.0
SMGA,Basic Materials,997499994112.0
SOLA,Basic Materials,447083020288.0
BATR,Basic Materials,314603864064.0
BLES,Basic Materials,1342421073920.0
PTMR,Basic Materials,713217998848.0
