Kode,Industri
ASSA,Transportation & Logistic
SDMU,Transportation & Logistic
SMDR,Transportation & Logistic
WEHA,Transportation & Logistic
HATM,Transportation & Logistic
LAJU,Transportation & Logistic
ANTM,Basic Materials
BRMS,Basic Materials
BRPT,Basic Materials
INCO,Basic Materials
INKP,Basic Materials
MDKA,Basic Materials
SMGR,Basic Materials
TINS,Basic Materials
TPIA,Basic Materials
ARCI,Basic Materials
PACK,Basic Materials
AMMN,Basic Materials
EMAS,Basic Materials
NCKL,Basic Materials
MBMA,Basic Materials
APLN,Properties & Real Estate
BKSL,Properties & Real Estate
CTRA,Properties & Real Estate
KIJA,Properties & Real Estate
LPKR,Properties & Real Estate
PWON,Properties & Real Estate
PANI,Properties & Real Estate
REAL,Properties & Real Estate
TRIN,Properties & Real Estate
TRUE,Properties & Real Estate
KOCI,Properties & Real Estate
CBDK,Properties & Real Estate
AHAP,Financials
ARTO,Financials
BBCA,Financials
BBNI,Financials
BBRI,Financials
BBTN,Financials
BBYB,Financials
BFIN,Financials
BMRI,Financials
PADI,Financials
PNBN,Financials
PNLF,Financials
SRTG,Financials
BRIS,Financials
BTPS,Financials
COIN,Financials
EXCL,Infrastructures
ISAT,Infrastructures
TLKM,Infrastructures
OASA,Infrastructures
PPRE,Infrastructures
PGEO,Infrastructures
INET,Infrastructures
BREN,Infrastructures
CDIA,Infrastructures
ACES,Consumer Cyclicals
BUVA,Consumer Cyclicals
ERAA,Consumer Cyclicals
ESTI,Consumer Cyclicals
INDS,Consumer Cyclicals
KPIG,Consumer Cyclicals
MAPI,Consumer Cyclicals
PSKT,Consumer Cyclicals
SCMA,Consumer Cyclicals
MINA,Consumer Cyclicals
HRTA,Consumer Cyclicals
BELL,Consumer Cyclicals
MSIN,Consumer Cyclicals
MAPA,Consumer Cyclicals
FILM,Consumer Cyclicals
YELO,Consumer Cyclicals
ZATA,Consumer Cyclicals
VKTR,Consumer Cyclicals
ERAL,Consumer Cyclicals
BAIK,Consumer Cyclicals
PART,Consumer Cyclicals
DOOH,Consumer Cyclicals
AMRT,Consumer Non-Cyclicals
BWPT,Consumer Non-Cyclicals
CPIN,Consumer Non-Cyclicals
DSNG,Consumer Non-Cyclicals
GGRM,Consumer Non-Cyclicals
HMSP,Consumer Non-Cyclicals
ICBP,Consumer Non-Cyclicals
INDF,Consumer Non-Cyclicals
JPFA,Consumer Non-Cyclicals
LAPD,Consumer Non-Cyclicals
LSIP,Consumer Non-Cyclicals
MYOR,Consumer Non-Cyclicals
SGRO,Consumer Non-Cyclicals
UNVR,Consumer Non-Cyclicals
WIIM,Consumer Non-Cyclicals
TAPG,Consumer Non-Cyclicals
CMRY,Consumer Non-Cyclicals
ASHA,Consumer Non-Cyclicals
NSSS,Consumer Non-Cyclicals
ADRO,Energy
BIPI,Energy
BULL,Energy
BUMI,Energy
DEWA,Energy
ENRG,Energy
MEDC,Energy
PTRO,Energy
RAJA,Energy
RMKE,Energy
CUAN,Energy
AADI,Energy
RATU,Energy
EMTK,Technology
KIOS,Technology
WIFI,Technology
BUKA,Technology
GOTO,Technology
IRSX,Technology
CYBR,Technology
KLBF,Healthcare
MIKA,Healthcare
PYFA,Healthcare
SIDO,Healthcare
HEAL,Healthcare
DKHH,Healthcare
ASII,Industrials
BNBR,Industrials
IMPC,Industrials
UNTR,Industrials
MARK,Industrials
BLUE,Industrials
SINI,Industrials
SMIL,Industrials
PIPA,Industrials
ADMR,Energy
INDY,Energy
DSSA,Energy
PGAS,Energy
ELSA,Energy
HUMI,Energy
RMKO,Energy
GTSI,Energy
PTBA,Energy
TCPI,Energy
LEAD,Energy
NICL,Basic Materials
SOCI,Energy
PSAB,Basic Materials
HRUM,Energy
