Ticker,Industry,trailingPE,forwardPE,pegRatio,priceToBook,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,freeCashflow,operatingCashflow,revenueGrowth,earningsGrowth,averageVolume,volume,marketCap,regularMarketPrice,avg_value_traded,fundamental_score
ASSA,Transportation & Logistic,7.7337813,21.362305,,1.4729028,0.19965,0.07871,0.069749996,0.13024001,134.071,0.989,0.938,1229777534976,970669686784,0.198,1.226,8419939,5728500,3229745414144,875.0,7367446625.0,560.0575425455456
SMDR,Transportation & Logistic,6.775015,,,10484.849,0.105399996,0.043119997,0.06493,0.0947,62.762,2.16,1.616,-169265904,151675520,0.107,-0.126,49192708,5222900,5665957871616,346.0,17020676968.0,268.8851004673823
WEHA,Transportation & Logistic,8.5639,,,0.73110104,0.087510005,0.0541,0.06985,0.123050004,44.936,1.001,0.783,17717082112,73457065984,0.059,-0.149,50693558,8251700,189872128000,130.0,6590162540.0,421.15200255635443
JAYA,Transportation & Logistic,25.44484,,,0.91561025,0.036140002,0.01819,0.06067,0.18103,58.324,0.281,0.083,126161461248,7978705408,-0.141,,75294626,90334500,112898416640,143.0,10767131518.0,295.940628961162
LAJU,Transportation & Logistic,,,,1.3290845,0.04053,0.03717,0.02499,0.14319,70.903,1.485,1.227,26929655808,14345822208,0.076,,190407298,94234200,178445271040,83.0,15803805734.0,367.2063754560044
ANTM,Basic Materials,12.360898,26.180225,,4.382235,0.23025,0.10329001,0.08517,0.00017000001,12.451,2.378,1.407,433805754368,4853255897088,-0.515,-0.146,181651800,65131200,89154134212608,3710.0,673928178000.0,355.38197547856487
BRMS,Basic Materials,140.83333,56.001877,,93888.89,0.04913,0.04724,0.20056,0.35674,18.299,3.044,0.475,-55864408,64863060,0.221,0.317,478800071,328852700,119807517130752,845.0,404586059995.0,381.4858642145173
BRPT,Basic Materials,21.504772,37.618908,,79791.664,0.31575,-0.00897,0.06419,-0.07922,134.821,2.338,1.669,-1171612160,309608000,1.912,,133311667,333267600,179457994260480,1915.0,255291842305.0,382.9046434277531
DKFT,Basic Materials,6.8256106,,,3.178668,0.55227,0.12205,0.36385,0.2297,70.75,2.092,1.732,315094335488,345623855104,-0.337,0.711,21044750,3535700,3914574856192,710.0,14941772500.0,579.2993436751034
ESSA,Basic Materials,18.346317,14.888844,,28076.922,0.096820004,0.06601,0.13656999,0.35384,0.031,10.545,8.12,66355700,104018432,0.328,0.635,134603230,41942900,12575691505664,730.0,98260357900.0,450.69315149945646
INCO,Basic Materials,50.249203,30.2345,,23384.03,0.02762,0.00737,0.07682,-0.0074,0.125,2.068,1.242,-235544624,234724992,0.178,2.06,31987564,11397400,64819671597056,6150.0,196723518600.0,441.0415428361366
INKP,Basic Materials,6.8965273,6.4073844,,7773.781,0.06842,0.0346,0.14295,0.25106,68.98,2.7,2.13,77791752,830401024,0.043,-0.357,13210307,3265700,53205312471040,9725.0,128470235575.0,349.0790490019563
INTP,Basic Materials,7.8554597,10.820744,,0.7549459,0.09925,0.04197,0.12683,0.15388,11.824,1.837,1.438,2138034143232,3808145965056,-0.079,0.265,1272069,945000,17517084934144,5300.0,6741965700.0,517.0818493523125
KRAS,Basic Materials,0.954638,11.44,,12434.782,0.58524,-0.01826,0.33908,-0.17674999,133.689,0.732,0.249,-301825984,-1753000,-0.146,8.888,20678980,18067200,5533069737984,286.0,5914188280.0,391.63296983528255
PSAB,Basic Materials,24.938875,,,42500.0,0.09897,0.053639997,0.10845,0.26874,63.552,0.573,0.26,107891120,155252272,0.859,,117107216,63866800,13494600597504,510.0,59724680160.0,268.98913744621586
SMGR,Basic Materials,86.194565,7.493082,,0.38865602,0.00374,0.010190001,0.00542,0.03569,21.791,1.101,0.699,-279527751680,3724747997184,0.005,1802.756,15071971,12177800,16271212019712,2410.0,36323450110.0,500.4422404448045
TINS,Basic Materials,31.744688,20.069574,,3.6678584,0.11897001,0.052529998,0.09559,0.17884001,33.641,1.778,0.833,-89312002048,287716016128,-0.215,-0.363,67655383,25477400,27929075515392,3750.0,253707686250.0,258.6816514690936
TKIM,Basic Materials,6.1652284,4.649907,,9810.126,0.098000005,0.01064,0.28008,0.054109998,24.266,1.274,0.646,-18719876,115421000,0.089,-0.678,3578562,1582500,28952980619264,9300.0,33280626600.0,261.4816245944918
TPIA,Basic Materials,23.3098,374.53763,,141279.06,0.38132998,-0.04119,0.15528,-0.32091,116.262,2.487,1.831,-1588798080,349912000,2.604,,12009692,47930900,525511226818560,6075.0,72958878900.0,364.07134883184176
ESIP,Basic Materials,34.113712,,,1.154042,0.014730001,0.00863,0.024820002,0.01712,1.295,15.512,5.044,393438624,4372262400,-0.09,0.48,94981025,276457800,113215283200,102.0,9688064550.0,329.7634856311029
ARCI,Basic Materials,26.952314,183529.4,,111428.57,0.32246,0.13473,0.20518999,0.40916002,136.291,1.067,0.342,-49693856,52415156,1.317,1.646,151219512,57139200,39366600687616,1560.0,235902438720.0,573.6130687245783
NICL,Basic Materials,26.526836,,,11.819681,0.41717997,0.29811,0.23382999,-0.48403,0.22,4.176,3.379,519112622080,481158135808,-0.808,,38253473,46688100,9146655047680,860.0,32897986780.0,306.6830498992993
PACK,Basic Materials,9.497488,,,2.767852,0.38331002,-0.0014200001,0.13194999,-0.09028,1.09,0.048,0.047,2835935920128,-22471938048,6.528,6.31,80136621,129230300,2921524887552,189.0,15145821369.0,591.2060148597915
AMMN,Basic Materials,84.73915,13.087898,,73310.81,0.04832,0.033689998,0.13484,0.49795,118.974,2.236,1.213,-1585289472,-474961984,6.697,,33658644,22736300,393411320348672,5425.0,182598143700.0,423.3639485187689
SOLA,Basic Materials,,,,2.184673,0.26084998,0.12788,0.13367,0.13179,30.613,1.554,0.773,-11695623168,30370736128,2.438,1.518,53935160,11357600,420784013312,128.0,6903700480.0,579.1051128663512
NCKL,Basic Materials,9.041377,10.244252,,2.0190194,0.25308,0.08755,0.27552,0.2924,23.671,1.957,1.086,3390015012864,7476544012288,0.097,0.155,96641773,27206600,72188099035136,1145.0,110654830085.0,550.6318420416719
MBMA,Basic Materials,161.25542,47.603836,,49666.668,0.0428,0.022880001,0.020610001,0.1262,40.244,1.618,1.093,-244225312,37190268,0.075,-0.051,353525983,98108100,80456590557184,745.0,263376857335.0,274.9039711837594
APLN,Properties & Real Estate,34.607647,2.7180784,,0.33829033,0.01743,0.011469999,0.03164,0.16319,39.211,1.985,0.312,1468498968576,-239702917120,-0.671,-0.747,133191283,19292700,3904284393472,172.0,22908900676.0,282.335226634024
